famid,perid,faid,moid,sex,trait
2431,NA19916,0,0,1,4
2424,NA19835,0,0,2,4
2469,NA20282,0,0,2,4
2368,NA19703,0,0,1,3
2425,NA19901,0,0,2,3
2427,NA19908,0,0,1,4
2430,NA19914,0,0,2,4
2470,NA20287,0,0,2,1
2436,NA19713,0,0,2,3
2426,NA19904,0,0,1,1
2431,NA19917,0,0,2,1
2436,NA19982,0,0,1,2
2487,NA20340,0,0,1,4
2427,NA19909,0,0,2,4
2424,NA19834,0,0,1,4
2480,NA20317,0,0,2,4
2418,NA19818,0,0,1,1
2490,NA20346,0,0,1,2
2433,NA19921,0,0,2,4
2469,NA20281,0,0,1,4
2495,NA20359,0,0,2,4
2477,NA20301,0,0,2,2
2492,NA20349,0,0,1,3
2474,NA20294,0,0,2,4
2494,NA20357,0,0,2,3
2425,NA19900,0,0,1,4
2491,NA20348,0,0,1,4
2471,NA20289,0,0,2,4
2489,NA20344,0,0,2,4
2418,NA19819,0,0,2,4
2357,NA19625,0,0,2,4
2483,NA20332,0,0,2,4
2367,NA19700,0,0,1,4
2472,NA20291,0,0,1,4
2488,NA20342,0,0,1,4
2484,NA20334,0,0,2,2
2494,NA20356,0,0,1,4
2371,NA19712,0,0,2,4
2481,NA20322,0,0,2,4
2368,NA19704,0,0,2,3
2367,NA19701,0,0,2,4
2496,NA20363,0,0,2,1
2371,NA19711,0,0,1,4
2446,NA20126,0,0,1,4
2485,NA20336,0,0,2,3
2487,NA20341,0,0,2,3
2437,NA19985,0,0,2,1
2466,NA20276,0,0,2,4
2446,NA20127,0,0,2,4
1328,NA06989,0,0,2,4
1377,NA11891,0,0,1,3
1349,NA11843,0,0,1,3
1330,NA12341,0,0,2,3
1328,NA06984,0,0,1,4
1418,NA12275,0,0,2,1
13291,NA06986,0,0,1,4
1418,NA12272,0,0,1,4
13292,NA07051,0,0,1,1
1354,NA12400,0,0,2,4
1451,NA12777,0,0,1,3
1421,NA12287,0,0,2,4
1353,NA12383,0,0,2,4
1330,NA12340,0,0,1,2
1418,NA12273,0,0,2,2
1377,NA11892,0,0,2,4
1353,NA12546,0,0,1,1
1458,NA12843,0,0,2,4
13281,NA12348,0,0,2,4
1423,NA11917,0,0,1,2
1358,NA12718,0,0,2,4
1421,NA12282,0,0,1,4
1423,NA11920,0,0,2,2
1451,NA12776,0,0,2,4
1421,NA12283,0,0,2,4
13291,NA07435,0,0,1,1
1456,NA12828,0,0,2,4
13291,NA07045,0,0,2,4
13292,NA07031,0,0,2,4
1456,NA12827,0,0,1,4
1330,NA12343,0,0,2,4
1451,NA12778,0,0,2,4
1424,NA11930,0,0,1,4
1463,NA12890,0,0,2,3
13291,NA07037,0,0,2,3
1345,NA07347,0,0,1,4
1456,NA12829,0,0,1,4
1444,NA12749,0,0,2,4
1377,NA11894,0,0,2,4
1421,NA12286,0,0,1,4
1423,NA11918,0,0,2,3
1456,NA12830,0,0,2,4
1377,NA11893,0,0,1,3
1423,NA11919,0,0,1,3
1353,NA12489,0,0,2,4
1354,NA12399,0,0,1,2
1355,NA12413,0,0,1,4
1458,NA12842,0,0,1,4
13281,NA12347,0,0,1,3
1345,NA07346,0,0,2,2
1451,NA12775,0,0,1,3
1463,NA12889,0,0,1,3
1330,NA12342,0,0,1,3
1444,NA12748,0,0,1,4
1424,NA11931,0,0,2,4
1346,NA12045,0,0,1,4
1444,NA12750,0,0,1,4
1350,NA11831,0,0,1,4
1334,NA12146,0,0,1,3
1347,NA11882,0,0,2,4
1340,NA07056,0,0,2,3
1408,NA12154,0,0,1,2
1349,NA11839,0,0,1,2
1459,NA12875,0,0,2,1
1408,NA12156,0,0,2,3
1346,NA12044,0,0,2,4
1362,NA11992,0,0,1,4
1350,NA11829,0,0,1,4
1334,NA12239,0,0,2,4
1447,NA12762,0,0,1,4
1358,NA12716,0,0,1,2
1459,NA12874,0,0,1,4
1447,NA12760,0,0,1,3
1341,NA06985,0,0,2,4
1420,NA12003,0,0,1,1
1340,NA07022,0,0,1,1
1454,NA12813,0,0,2,4
1341,NA07055,0,0,2,4
1344,NA12056,0,0,1,4
1334,NA12145,0,0,2,4
1454,NA12814,0,0,1,4
1420,NA12006,0,0,2,4
1447,NA12763,0,0,2,3
1345,NA07357,0,0,1,4
1334,NA12144,0,0,1,4
1340,NA07000,0,0,2,2
1350,NA11832,0,0,2,3
1349,NA11840,0,0,2,4
1447,NA12761,0,0,2,3
1340,NA06994,0,0,1,4
1362,NA11993,0,0,2,4
1362,NA11995,0,0,2,4
1463,NA12891,0,0,1,4
1444,NA12751,0,0,2,4
1420,NA12005,0,0,1,4
1375,NA12234,0,0,2,1
1345,NA07345,0,0,2,4
1463,NA12892,0,0,2,1
1416,NA12248,0,0,1,4
1459,NA12872,0,0,1,1
1408,NA12155,0,0,1,4
1341,NA06993,0,0,1,3
1350,NA11830,0,0,2,3
1416,NA12249,0,0,2,4
1344,NA12057,0,0,2,3
1454,NA12812,0,0,1,4
1347,NA11881,0,0,1,1
1362,NA11994,0,0,1,4
1459,NA12873,0,0,2,4
1454,NA12815,0,0,2,4
1346,NA12043,0,0,1,3
1375,NA12264,0,0,1,4
M012,NA19663,0,0,2,1
M012,NA19664,0,0,1,2
M016,NA19722,0,0,2,4
M016,NA19723,0,0,1,3
M001,NA19649,0,0,1,1
M002,NA19669,0,0,2,3
M007,NA19657,0,0,2,3
M007,NA19658,0,0,1,4
M015,NA19719,0,0,2,2
M015,NA19720,0,0,1,3
M017,NA19726,0,0,1,3
M023,NA19747,0,0,1,3
M027,NA19759,0,0,1,3
M033,NA19773,0,0,2,3
M035,NA19780,0,0,1,1
M004,NA19675,0,0,2,3
M004,NA19676,0,0,1,2
M005,NA19651,0,0,2,2
M011,NA19684,0,0,2,4
M017,NA19725,0,0,2,2
M026,NA19755,0,0,2,3
M026,NA19756,0,0,1,2
M033,NA19774,0,0,1,4
M034,NA19776,0,0,2,2
M034,NA19777,0,0,1,4
M036,NA19783,0,0,1,1
M008,NA19661,0,0,1,1
M010,NA19682,0,0,1,4
M031,NA19771,0,0,1,4
M035,NA19779,0,0,2,2
M036,NA19782,0,0,2,4
M037,NA19788,0,0,2,3
M008,NA19660,0,0,2,4
M009,NA19678,0,0,2,2
M010,NA19681,0,0,2,1
M023,NA19746,0,0,2,1
M039,NA19794,0,0,2,3
M039,NA19795,0,0,1,1
M006,NA19654,0,0,2,1
M024,NA19749,0,0,2,4
M028,NA19761,0,0,2,4
M028,NA19762,0,0,1,4
M031,NA19770,0,0,2,1
M002,NA19670,0,0,1,1
M014,NA19716,0,0,2,3
M024,NA19750,0,0,1,4
M037,NA19789,0,0,1,1
M011,NA19685,0,0,1,3
M009,NA19679,0,0,1,3
M005,NA19652,0,0,1,3
Y001,NA18488,0,0,2,4
Y014,NA18519,0,0,1,3
Y039,NA19185,0,0,2,4
Y075,NA19146,0,0,1,4
Y073,NA19149,0,0,2,3
Y092,NA19256,0,0,1,3
Y006,NA19108,0,0,2,1
Y038,NA19178,0,0,1,4
Y030,NA18916,0,0,2,4
Y111,NA19190,0,0,2,4
Y061,NA19121,0,0,1,3
Y079,NA19113,0,0,1,3
Y116,NA19235,0,0,2,4
Y041,NA19095,0,0,2,4
Y041,NA19096,0,0,1,3
Y007,NA18868,0,0,1,4
Y027,NA18909,0,0,2,4
Y036,NA18933,0,0,2,4
Y044,NA19175,0,0,1,4
Y120,NA19247,0,0,2,4
Y002,NA18489,0,0,2,4
Y052,NA19181,0,0,1,1
Y092,NA19257,0,0,2,4
Y100,NA19117,0,0,1,4
Y110,NA19214,0,0,2,4
Y014,NA18520,0,0,2,4
Y110,NA19213,0,0,1,2
Y035,NA19197,0,0,2,2
Y035,NA19198,0,0,1,2
Y061,NA19122,0,0,2,2
Y036,NA18934,0,0,1,2
Y033,NA18924,0,0,2,2
Y075,NA19147,0,0,2,3
Y001,NA18486,0,0,1,3
Y003,NA18499,0,0,2,4
Y002,NA18487,0,0,1,3
Y120,NA19248,0,0,1,3
Y030,NA18917,0,0,1,4
Y079,NA19114,0,0,2,4
Y039,NA19184,0,0,1,4
Y044,NA19176,0,0,2,3
Y007,NA18867,0,0,2,1
Y116,NA19236,0,0,1,2
Y019,NA18874,0,0,1,4
